,index,date,time,tweet,language,parse,Category
18,18,25/02/2022,23:52:56,still think brink wwiii worldwar3,en,still think brink wwiii worldwar3,_
19,19,25/02/2022,23:52:35,damn fuckin true wwiii worldwar3,en,damn fuckin true wwiii worldwar3,_
20,20,25/02/2022,23:52:25,remember ongoing conflict ukraine ukraineandrussia wwiii,en,remember ongoing conflict ukraine ukraineandrussia wwiii,_
21,21,25/02/2022,23:52:02,seems 6th game second set going since wwiii started acapulcoopen nadal,en,seems 6th game second set going since wwiii started acapulcoopen nadal,_
22,22,25/02/2022,23:52:02,wwiii omg starting see nato bidenisadisgrace bidenisafailure bidenbordercrisis ukraineunderattack ukraine usa,en,wwiii omg starting see nato bidenisadisgrace bidenisafailure bidenbordercrisis ukraineunderattack ukraine usa,_
23,23,25/02/2022,23:51:58,"e sure putins go one one zeleensky soldiers,nothing nothing lets see na😒😒 putin wwiii nairamarley",en,"e sure putins go one one zeleensky soldiers,nothing nothing lets see na😒😒 putin wwiii nairamarley",_
24,24,25/02/2022,23:51:57,stay strong putin worldwar3 wwiii warinukraine,en,stay strong putin worldwar3 wwiii warinukraine,_
25,25,25/02/2022,23:51:50,"zelenskyyua leader, showing 🌏 leader looks like us senatedems housedemocrats potus dnc soulsearching giving space senategop housegop emulate hero vladputin, thug, choosing start cld easily become wwiii",en,"zelenskyyua leader, showing 🌏 leader looks like us senatedems housedemocrats potus dnc soulsearching giving space senategop housegop emulate hero vladputin, thug, choosing start cld easily become wwiii",_
26,26,25/02/2022,23:51:36,holiness hazrat mirza masroor ahmad aba writes letter 18 september 2013 mr vladimir putin president russian ferderation russiaukraineconflict russiaukrainewar wwiii,en,holiness hazrat mirza masroor ahmad aba writes letter 18 september 2013 mr vladimir putin president russian ferderation russiaukraineconflict russiaukrainewar wwiii,_
27,27,25/02/2022,23:51:17,"here's statements ""vladimir putin"" putin russia listen regret laterrrrr love quotes russia wwiii putin vladimir putin ukraineinvasion",en,"here's statements ""vladimir putin"" putin russia listen regret laterrrrr love quotes russia wwiii putin vladimir putin ukraineinvasion",_
28,28,25/02/2022,23:51:10,chosenonesnft praying ukraine friends live russia's attack senseless need help two 1 1 special nfts 10k auctioned 100% donated please like retweet ukraine russia wwiii,en,chosenonesnft praying ukraine friends live russia's attack senseless need help two 1 1 special nfts 10k auctioned 100% donated please like retweet ukraine russia wwiii,_
29,29,25/02/2022,23:51:00,"biden deploying 7,000 us troops europe via amermilnews ukraineinvasion democratsareadisaster military wwiii great job joebiden kamalaharris aoc oh wait, forgot putinspuppets",en,"biden deploying 7,000 us troops europe via amermilnews ukraineinvasion democratsareadisaster military wwiii great job joebiden kamalaharris aoc oh wait, forgot putinspuppets",_
30,30,25/02/2022,23:50:32,"case wwiii happens, evs go mainstream mark words",en,"case wwiii happens, evs go mainstream mark words",_
31,31,25/02/2022,23:50:29,even remember country economical crisis want wwiii ww3 wwiii srilanka,en,even remember country economical crisis want wwiii ww3 wwiii srilanka,_
32,32,25/02/2022,23:50:11,feel though increasing appetite direct confrontation us russia understand unthinkable terms risk escalating nuclear apocalypse nowarwithukraine russiaukrainewar wwiii nuclearweapons nuclearwar,en,feel though increasing appetite direct confrontation us russia understand unthinkable terms risk escalating nuclear apocalypse nowarwithukraine russiaukrainewar wwiii nuclearweapons nuclearwar,_
33,33,25/02/2022,23:49:54,"president zelensky hero, staying put defending evil hero ukrainewar wwiii",en,"president zelensky hero, staying put defending evil hero ukrainewar wwiii",_
34,34,25/02/2022,23:49:45,"war solution thing ,for peace talking best solution conflict resolving war no_war nomorewar stopthewar wwiii worldwar3",en,"war solution thing ,for peace talking best solution conflict resolving war no_war nomorewar stopthewar wwiii worldwar3",_
35,35,25/02/2022,23:48:26,condemn war everywhere ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,en,condemn war everywhere ukraineunderattack ukraine ukrainerussia worldwar3 unitednations putin wwiii worldwar3,_
36,36,25/02/2022,23:48:07,worldwar3 wwiii ukraineinvasion ukrainewar ukraina laughing matter; however polictal comedy existed two world wars might well serious crap develpoping amd posting putin soooo honest lol,en,worldwar3 wwiii ukraineinvasion ukrainewar ukraina laughing matter; however polictal comedy existed two world wars might well serious crap develpoping amd posting putin soooo honest lol,_
37,37,25/02/2022,23:47:44,two ukrainian kids seen paying respect ukraine troops heading war front true patriotism ukraine🇺🇦⚔️🇷🇺 kiev worldwar3 putin ukraine ukrainerussiaconflict wwiii russiaukraineconflict nato,en,two ukrainian kids seen paying respect ukraine troops heading war front true patriotism ukraine🇺🇦⚔️🇷🇺 kiev worldwar3 putin ukraine ukrainerussiaconflict wwiii russiaukraineconflict nato,_
38,38,25/02/2022,23:47:41,💀 wwiii,en,💀 wwiii,_
39,39,25/02/2022,23:47:14,bartsim28514897 ageofsecrecy paulsonne wwiii coming soon nuclearwar possible family nuclear survival plans family disaster network navigate 8 pages please public domain information putin unhinged big time,en,bartsim28514897 ageofsecrecy paulsonne wwiii coming soon nuclearwar possible family nuclear survival plans family disaster network navigate 8 pages please public domain information putin unhinged big time,_
40,40,25/02/2022,23:46:57,"letter found pocket one dead soldiers, 1939 stopwar wwiii",en,"letter found pocket one dead soldiers, 1939 stopwar wwiii",_
41,41,25/02/2022,23:46:56,"ukrainians left die russia respond, tyrant grow stronger stand freedom stand ukraine poutine kiev kiew trump putinisawarcriminal istandwithukraine ukraineinvasion wwiii nato putin ukraine ukraineunderattack eu",en,"ukrainians left die russia respond, tyrant grow stronger stand freedom stand ukraine poutine kiev kiew trump putinisawarcriminal istandwithukraine ukraineinvasion wwiii nato putin ukraine ukraineunderattack eu",_
42,42,25/02/2022,23:46:19,"russiaukrainewar needs diversity cant get shit together represent everyone think cancel immediately i, individual demand voice heard wwiii",en,"russiaukrainewar needs diversity cant get shit together represent everyone think cancel immediately i, individual demand voice heard wwiii",_
43,43,25/02/2022,23:45:46,"well, aged well knew never put eggs one basket, never give power away 🤷🏻‍️ trump russia germany russiaukraineconflict ukraine putin pipeline oilandgas melaniatrump wwiii power money russiaukraine makeamericagreatagain sanctions",en,"well, aged well knew never put eggs one basket, never give power away 🤷🏻‍️ trump russia germany russiaukraineconflict ukraine putin pipeline oilandgas melaniatrump wwiii power money russiaukraine makeamericagreatagain sanctions",_
44,44,25/02/2022,23:45:08,"trump wouldnt allowed russian invasion ukraine happened usa nato gave ukraine false assurances criticizing ukrainebiden praising russiantrump trump guy good avoidingpreventing unnecessary wars china www2, wwiii gaddafi",en,"trump wouldnt allowed russian invasion ukraine happened usa nato gave ukraine false assurances criticizing ukrainebiden praising russiantrump trump guy good avoidingpreventing unnecessary wars china www2, wwiii gaddafi",_
45,45,25/02/2022,23:45:00,"days ukraineunderattack, ukrainewar,when russiainvadesukraine , we're face face starting wwiii ww3 worldwar3 worldwariii worldwarthree worldwar seems nonsense tweet, like share tweets westandwithukraine 🇬🇪🇺🇦💪🏻✊❤",en,"days ukraineunderattack, ukrainewar,when russiainvadesukraine , we're face face starting wwiii ww3 worldwar3 worldwariii worldwarthree worldwar seems nonsense tweet, like share tweets westandwithukraine 🇬🇪🇺🇦💪🏻✊❤",_
46,46,25/02/2022,23:44:30,"russian tennis star andrey rublev appeal ""no war please"" russiaukrainewar stopwar wwiii",en,"russian tennis star andrey rublev appeal ""no war please"" russiaukrainewar stopwar wwiii",_
47,47,25/02/2022,23:44:15,get loser going looting wwiii,en,get loser going looting wwiii,_
48,48,25/02/2022,23:43:08,furious putin prepares use 'father bombs' brave ukrainians via youtube unitedispink wwiii ww3 stopputin stopwar putin putinswar ukraine ukrainian kiew kiev ukrania,en,furious putin prepares use 'father bombs' brave ukrainians via youtube unitedispink wwiii ww3 stopputin stopwar putin putinswar ukraine ukrainian kiew kiev ukrania,_
49,49,25/02/2022,23:43:02,"russia breaks international law whole world goes mad, israel broke international law one bats eyelid wwiii ukrainewar russiaukrainewar",en,"russia breaks international law whole world goes mad, israel broke international law one bats eyelid wwiii ukrainewar russiaukrainewar",_
50,50,25/02/2022,23:41:19,rusiavsucrania ukraineunderattack simpsons predictions wwiii 🪖,en,rusiavsucrania ukraineunderattack simpsons predictions wwiii 🪖,_
51,51,25/02/2022,23:40:00,"russiaukraine conflict sikh community steps forward, serves ‘guru ka langar train war stricken people read ukraine russia putin wwiii worldwar3 ukrainerussia russiaukraineconflict kyiv worldwar3 india gurukalangar langar",en,"russiaukraine conflict sikh community steps forward, serves ‘guru ka langar train war stricken people read ukraine russia putin wwiii worldwar3 ukrainerussia russiaukraineconflict kyiv worldwar3 india gurukalangar langar",_
52,52,25/02/2022,23:39:49,"american voted donald trump, putin allowed invade ukraine chosen joe biden lacking democracy sleeping president nato bidenisadisgrace blackshinesbrightest putin trump goptraitorstodemocracy wwiii joebiden",en,"american voted donald trump, putin allowed invade ukraine chosen joe biden lacking democracy sleeping president nato bidenisadisgrace blackshinesbrightest putin trump goptraitorstodemocracy wwiii joebiden",_
53,53,25/02/2022,23:39:42,ummm still school wwe literally happening right posts image black person something wwe wwiii schoolsux,en,ummm still school wwe literally happening right posts image black person something wwe wwiii schoolsux,_
54,54,25/02/2022,23:39:40,"potus time step get game, lack leadership helping prevent wwiii remembered prove us wrong 💪",en,"potus time step get game, lack leadership helping prevent wwiii remembered prove us wrong 💪",_
