,tweet,parse
577,"@brisegonzalez05 No sabía q Gatell era el q organizaba las fiestas dcada fin dsemana,o q ha llevado d vacaciones a todos los q se andan paseando,tampoco sabía q es el que va por la calle quitandole su cubrebocas a toda la gente que va por el mundo sin él...si si,seguro él tiene la culpa de todo🤣 ","@brisegonzalez05 No sabía q Gatell era el q organizaba las fiestas dcada fin dsemana,o q ha llevado d vacaciones a todos los q se andan paseando,tampoco sabía q es el que va por la calle quitandole su cubrebocas a toda la gente que va por el mundo sin él...si si,seguro él tiene la culpa de todo🤣 "
578,@octaviohalvarez Lo que Lily Tellez siente por Gatell 😜,@octaviohalvarez Lo que Lily Tellez siente por Gatell 😜
579,"@SergioSarmiento Alguien sabe la ESTRATEGIA? , Existe algún plan de implementación? Cuáles eran los objetivos?, Etc. Se me figura que todo lo que le vendió Gatell a López Obrador fue ""pura bola de humo"". Cuántos muertos más Lopez's, cuántos más. #NiUnVotoAMORENA2021","@SergioSarmiento Alguien sabe la ESTRATEGIA? , Existe algún plan de implementación? Cuáles eran los objetivos?, Etc. Se me figura que todo lo que le vendió Gatell a López Obrador fue ""pura bola de humo"". Cuántos muertos más Lopez's, cuántos más. #NiUnVotoAMORENA2021"
580,"@Mauss_1933 @HLGatell Gatell explicó en conferencias cuando no era necesario el uso de cubre bocas, pero sólo compartían un extracto de la misma.","@Mauss_1933 @HLGatell Gatell explicó en conferencias cuando no era necesario el uso de cubre bocas, pero sólo compartían un extracto de la misma."
581,"A Gatell lo podrá defender hasta su madre. Pero {el sabe en sus 4 paredes, que es co-responsable de las muertes y los contagiados. El #DrMuerte será el mote que lo acompañe de por vida, asi pasará a la historia, como la persona que contaba muertes y camas cada noche a las 7 pm","A Gatell lo podrá defender hasta su madre. Pero {el sabe en sus 4 paredes, que es co-responsable de las muertes y los contagiados. El #DrMuerte será el mote que lo acompañe de por vida, asi pasará a la historia, como la persona que contaba muertes y camas cada noche a las 7 pm"
582,"@qtf ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse","@qtf ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse"
583,Gatell va a hacer give away o algo por llegar a 100 mil muertos?,Gatell va a hacer give away o algo por llegar a 100 mil muertos?
584,@makugo Y gatell todavía se ríe. Y amlo en nuestra cara no va a cambiar la estrategia que. A demostrado ser. Muy deficiente igual que ellos dos. .,@makugo Y gatell todavía se ríe. Y amlo en nuestra cara no va a cambiar la estrategia que. A demostrado ser. Muy deficiente igual que ellos dos. .
585,"@dadkom14 Jamás hubo un plan de prevención por parte del gobierno de forma anticipada; era marzo y el Presidente seguía diciendo que no pasaba nada, que nos abrazáramos, que saliéramos a comer; Hugo López Gatell dijo que AMLO tenía fuerza moral, algo que en cuestión de salud, no existe","@dadkom14 Jamás hubo un plan de prevención por parte del gobierno de forma anticipada; era marzo y el Presidente seguía diciendo que no pasaba nada, que nos abrazáramos, que saliéramos a comer; Hugo López Gatell dijo que AMLO tenía fuerza moral, algo que en cuestión de salud, no existe"
586,"@riveron72 ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse","@riveron72 ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse"
587,"Totalmente de acuerdo. Como que NO es momento de camisetitas y garnachas. Según los cálculos del infame Gatell, los 100,000 muy bien pueden ser 270,000 muertos ya.","Totalmente de acuerdo. Como que NO es momento de camisetitas y garnachas. Según los cálculos del infame Gatell, los 100,000 muy bien pueden ser 270,000 muertos ya."
588,"-Pandemia catastrófica cada 99 años (9 ciclos solares), ¿nada predecible eh?, no me diga que sería inusual -Muertes por COVID-19 en México representan una cifra inusual: López-Gatell ","-Pandemia catastrófica cada 99 años (9 ciclos solares), ¿nada predecible eh?, no me diga que sería inusual -Muertes por COVID-19 en México representan una cifra inusual: López-Gatell "
589,"@EmmaChoquita ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse","@EmmaChoquita ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse"
590,No comen frutas ha! Tampoco van a el doctor a checarse presión o su nivel de grasas en su cuerpo en pocas palabras les vale madres ser hipertenso o diabético y obesos entonces de qué se quejan? Acaso Gatell tiene la culpa? De su valemadrismo dejen de chingar al presidente .,No comen frutas ha! Tampoco van a el doctor a checarse presión o su nivel de grasas en su cuerpo en pocas palabras les vale madres ser hipertenso o diabético y obesos entonces de qué se quejan? Acaso Gatell tiene la culpa? De su valemadrismo dejen de chingar al presidente .
591,"@econokafka @HLGatell En ningún tweet culpa a los verdaderos culpables de esta ""pesadilla""... El partido comunista chino.. Todo es Gatell, AMLO.. Los chinos son los verdaderos culpables de esta Plaga..","@econokafka @HLGatell En ningún tweet culpa a los verdaderos culpables de esta ""pesadilla""... El partido comunista chino.. Todo es Gatell, AMLO.. Los chinos son los verdaderos culpables de esta Plaga.."
592,@RiosCorona222 Y del HDSPM de López-Gatell!!,@RiosCorona222 Y del HDSPM de López-Gatell!!
593,"@GlodeJo07 ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse","@GlodeJo07 ""Gatell ,diciendo q se cuidaran."" ""Ricardo Salinas Pliego y Bigotes que no pasaba nada que salieran al Elektra."" Vean la realidad y dejen de drogarse"
594,Kok mata gw pas di bulmatnya gatell bgt sihh😌 Jgn nyampe mau bintitan amit²,Kok mata gw pas di bulmatnya gatell bgt sihh😌 Jgn nyampe mau bintitan amit²
595,"@ferchivx Pueeeees... Entonces no deben extrañarnos los 100 000 muertos y que al presidente y Gatell les importe poco, al fin que no es su responsabilidad","@ferchivx Pueeeees... Entonces no deben extrañarnos los 100 000 muertos y que al presidente y Gatell les importe poco, al fin que no es su responsabilidad"
596,"@LOVREGA Si gobernara otro partido y hubiera estas cifras alarmantes de Covid, no dirías lo mismo, pero tienes que hacer todo tipo de maromas para defender a tu amo López y su gato Gatell.","@LOVREGA Si gobernara otro partido y hubiera estas cifras alarmantes de Covid, no dirías lo mismo, pero tienes que hacer todo tipo de maromas para defender a tu amo López y su gato Gatell."
597,@dadkom14 Las muchas palabras (hilos) conmueven pero el ejemplo es el que en esta ocasión pudo salvar. Gatell,@dadkom14 Las muchas palabras (hilos) conmueven pero el ejemplo es el que en esta ocasión pudo salvar. Gatell
598,"@bta_Demian #gatell es chido haciendo su chamba” pero hincado, raspando sus rodillas, tirando su dignidad hacia la fuerza moral del demente del palacio. #VxM #NosFaltan100mil","@bta_Demian #gatell es chido haciendo su chamba” pero hincado, raspando sus rodillas, tirando su dignidad hacia la fuerza moral del demente del palacio. #VxM #NosFaltan100mil"
599,AMLO habla de beisbol mientras López-Gatell anuncia 100 mil muertos ,AMLO habla de beisbol mientras López-Gatell anuncia 100 mil muertos 
600,@StratCons @Jaime_BonillaV Aquí la razón de agacharse y no creo que sea el único tema por el que habría que levantar la voz cuando eres testigo o cómplice tu profesionalismo también se perjudica ve a tu mega jefe Gatell no creo en tu juicio lo veas con orgullo y si lo es ya te perdiste. ,@StratCons @Jaime_BonillaV Aquí la razón de agacharse y no creo que sea el único tema por el que habría que levantar la voz cuando eres testigo o cómplice tu profesionalismo también se perjudica ve a tu mega jefe Gatell no creo en tu juicio lo veas con orgullo y si lo es ya te perdiste. 
601,"A López Obrador no le importan los 100 mil muertos, él sólo responde a las críticas de sus ""adversarios"". Lamemtable papel de él y de su achichincle López Gatell.","A López Obrador no le importan los 100 mil muertos, él sólo responde a las críticas de sus ""adversarios"". Lamemtable papel de él y de su achichincle López Gatell."
602,"@LOVREGA Lástima que ""las encuestas"" no sirvan para salvar vidas. Lo único que Gatell heredará es muerte, servilismo y perversión. @HLGatell #LosCienMilDeGatell","@LOVREGA Lástima que ""las encuestas"" no sirvan para salvar vidas. Lo único que Gatell heredará es muerte, servilismo y perversión. @HLGatell #LosCienMilDeGatell"
603,"@ezshabot Por culpa de AMLO y Gatell, te faltó.","@ezshabot Por culpa de AMLO y Gatell, te faltó."
604,"La Buena: López-Gatell promovió el uso del cubrebocas. La Mala: No lo hizo hace ocho meses. La Fea: Su jefe, #AMLO, no hace caso a su recomendación. @EnriqueEnVivo te presenta #LaSemanaResumida 📺 ","La Buena: López-Gatell promovió el uso del cubrebocas. La Mala: No lo hizo hace ocho meses. La Fea: Su jefe, #AMLO, no hace caso a su recomendación. @EnriqueEnVivo te presenta #LaSemanaResumida 📺 "
605,"#Relevante Hugo López-Gatell refiere que el momento de mayor intensidad será diciembre, enero, y parte de febrero, aconsejó persuadir a la población con información y brigadas comunitarias para reducir actividades ","#Relevante Hugo López-Gatell refiere que el momento de mayor intensidad será diciembre, enero, y parte de febrero, aconsejó persuadir a la población con información y brigadas comunitarias para reducir actividades "
606,"Es como patear el avispero cuando se defiende a Gatell Si hiciera un buen trabajo no necesitaria la defensa de nadie. Bueno, Su chamba es contar muertes, contagios y camas y bueno..... eso es lo que hace cada noche. #DrMuerte","Es como patear el avispero cuando se defiende a Gatell Si hiciera un buen trabajo no necesitaria la defensa de nadie. Bueno, Su chamba es contar muertes, contagios y camas y bueno..... eso es lo que hace cada noche. #DrMuerte"
607,"@LOVREGA 1/2 Mas de 100,000 muertos. En México, por culpa de AMLO y el Dr. Muerte Gatell, diario se infectan mas de 4500 personas, y cada día mueren mas de 500. Para ejemplo de un manejo correcto, Nueva Zelanda: lleva 25 muertos en toda la pandemia, el último falleció el 17 de septiembre","@LOVREGA 1/2 Mas de 100,000 muertos. En México, por culpa de AMLO y el Dr. Muerte Gatell, diario se infectan mas de 4500 personas, y cada día mueren mas de 500. Para ejemplo de un manejo correcto, Nueva Zelanda: lleva 25 muertos en toda la pandemia, el último falleció el 17 de septiembre"
