,index,date,time,tweet,language,parse,Category
26,26,25/02/2022,23:51:36,holiness hazrat mirza masroor ahmad aba writes letter 18 september 2013 mr vladimir president ferderation,en,holiness hazrat mirza masroor ahmad aba writes letter 18 september 2013 mr vladimir president ferderation,_
27,27,25/02/2022,23:51:17,"heres statements ""vladimir putin"" listen dont regret laterrrrr love quotes vladimir ukraineinvasion",en,"heres statements ""vladimir putin"" listen dont regret laterrrrr love quotes vladimir ukraineinvasion",_
28,28,25/02/2022,23:51:10,chosenonesnft praying friends live russias attack senseless need help two 1 1 special nfts 10k auctioned 100% donated please like retweet,en,chosenonesnft praying friends live russias attack senseless need help two 1 1 special nfts 10k auctioned 100% donated please like retweet,_
29,29,25/02/2022,23:51:00,biden deploying 7000 troops europe via amermilnews ukraineinvasion democratsareadisaster military great job joebiden kamalaharris aoc oh wait forgot putinspuppets,en,biden deploying 7000 troops europe via amermilnews ukraineinvasion democratsareadisaster military great job joebiden kamalaharris aoc oh wait forgot putinspuppets,_
30,30,25/02/2022,23:50:32,case happens evs go mainstream mark words,en,case happens evs go mainstream mark words,_
31,31,25/02/2022,23:50:29,dont even remember country economical crisis want srilanka,en,dont even remember country economical crisis want srilanka,_
32,32,25/02/2022,23:50:11,feel though increasing appetite direct confrontation understand unthinkable terms risk escalating nuclear apocalypse nowarwithukraine nuclearweapons nuclearwar,en,feel though increasing appetite direct confrontation understand unthinkable terms risk escalating nuclear apocalypse nowarwithukraine nuclearweapons nuclearwar,_
33,33,25/02/2022,23:49:54,president zelensky hero staying put defending evil hero ukrainewar,en,president zelensky hero staying put defending evil hero ukrainewar,_
34,34,25/02/2022,23:49:45,solution thing peace talking best solution conflict resolving no_war nomorewar stopthewar,en,solution thing peace talking best solution conflict resolving no_war nomorewar stopthewar,_
35,35,25/02/2022,23:48:26,condemn everywhere unitednations,en,condemn everywhere unitednations,_
36,36,25/02/2022,23:48:07,ukraineinvasion ukrainewar ukraina laughing matter; however polictal comedy existed two wars might well serious crap develpoping amd posting soooo honest lol,en,ukraineinvasion ukrainewar ukraina laughing matter; however polictal comedy existed two wars might well serious crap develpoping amd posting soooo honest lol,_
37,37,25/02/2022,23:47:44,two ukrainian kids seen paying respect troops heading front true patriotism ukraine⚔️ kiev ukrainerussiaconflict,en,two ukrainian kids seen paying respect troops heading front true patriotism ukraine⚔️ kiev ukrainerussiaconflict,_
38,38,25/02/2022,23:47:41,💀,en,💀,_
39,39,25/02/2022,23:47:14,bartsim28514897 ageofsecrecy paulsonne coming soon nuclearwar possible family nuclear survival plans family disaster network navigate 8 pages please public domain information unhinged big time,en,bartsim28514897 ageofsecrecy paulsonne coming soon nuclearwar possible family nuclear survival plans family disaster network navigate 8 pages please public domain information unhinged big time,_
40,40,25/02/2022,23:46:57,letter found pocket one dead soldiers 1939 stopwar,en,letter found pocket one dead soldiers 1939 stopwar,_
41,41,25/02/2022,23:46:56,ukrainians left die respond tyrant grow stronger stand freedom stand poutine kiev kiew trump putinisawarcriminal istandwithukraine ukraineinvasion eu,en,ukrainians left die respond tyrant grow stronger stand freedom stand poutine kiev kiew trump putinisawarcriminal istandwithukraine ukraineinvasion eu,_
42,42,25/02/2022,23:46:19,needs diversity cant get shit together represent everyone think cancel immediately individual demand voice heard,en,needs diversity cant get shit together represent everyone think cancel immediately individual demand voice heard,_
43,43,25/02/2022,23:45:46,well aged well knew never put eggs one basket never give power away 🤷🏻‍️ trump germany pipeline oilandgas melaniatrump power money russiaukraine makeamericagreatagain sanctions,en,well aged well knew never put eggs one basket never give power away 🤷🏻‍️ trump germany pipeline oilandgas melaniatrump power money russiaukraine makeamericagreatagain sanctions,_
44,44,25/02/2022,23:45:08,trump wouldnt allowed invasion happened usa gave false assurances criticizing ukrainebiden praising russiantrump trump guy good avoidingpreventing unnecessary wars china www2 gaddafi,en,trump wouldnt allowed invasion happened usa gave false assurances criticizing ukrainebiden praising russiantrump trump guy good avoidingpreventing unnecessary wars china www2 gaddafi,_
45,45,25/02/2022,23:45:00,days ukrainewarwhen russiainvadesukraine face face starting worldwariii worldwarthree worldwar seems nonsense tweet like share tweets westandwithukraine 🇬🇪💪🏻✊❤,en,days ukrainewarwhen russiainvadesukraine face face starting worldwariii worldwarthree worldwar seems nonsense tweet like share tweets westandwithukraine 🇬🇪💪🏻✊❤,_
46,46,25/02/2022,23:44:30,"tennis star andrey rublev appeal ""no please"" stopwar",en,"tennis star andrey rublev appeal ""no please"" stopwar",_
47,47,25/02/2022,23:44:15,get loser going looting,en,get loser going looting,_
48,48,25/02/2022,23:43:08,furious prepares use 'father bombs' brave ukrainians via youtube unitedispink stopputin stopwar putinswar ukrainian kiew kiev ukrania,en,furious prepares use 'father bombs' brave ukrainians via youtube unitedispink stopputin stopwar putinswar ukrainian kiew kiev ukrania,_
49,49,25/02/2022,23:43:02,breaks international law whole goes mad israel broke international law one bats eyelid ukrainewar,en,breaks international law whole goes mad israel broke international law one bats eyelid ukrainewar,_
50,50,25/02/2022,23:41:19,rusiavsucrania simpsons predictions 🪖,en,rusiavsucrania simpsons predictions 🪖,_
51,51,25/02/2022,23:40:00,russiaukraine conflict sikh community steps forward serves ‘guru ka langar train stricken people read kyiv india gurukalangar langar,en,russiaukraine conflict sikh community steps forward serves ‘guru ka langar train stricken people read kyiv india gurukalangar langar,_
52,52,25/02/2022,23:39:49,hadnt american voted donald trump allowed invade chosen joe biden lacking democracy sleeping president bidenisadisgrace blackshinesbrightest trump goptraitorstodemocracy joebiden,en,hadnt american voted donald trump allowed invade chosen joe biden lacking democracy sleeping president bidenisadisgrace blackshinesbrightest trump goptraitorstodemocracy joebiden,_
53,53,25/02/2022,23:39:42,ummm still school wwe literally happening right posts image black person something wwe schoolsux,en,ummm still school wwe literally happening right posts image black person something wwe schoolsux,_
54,54,25/02/2022,23:39:40,potus time step get game lack leadership helping prevent remembered prove wrong 💪,en,potus time step get game lack leadership helping prevent remembered prove wrong 💪,_
55,55,25/02/2022,23:39:32,please dont 😥 unitednations unitednations,en,please dont 😥 unitednations unitednations,_
56,56,25/02/2022,23:39:25,people doubts god difficult times 🤦🏾‍️ davido wizkid,en,people doubts god difficult times 🤦🏾‍️ davido wizkid,_
57,57,25/02/2022,23:39:23,got money wars cant feed poor 💔 💔 stopthewar stopputin ukrainewar ukrainerussiacrisis nowar,en,got money wars cant feed poor 💔 💔 stopthewar stopputin ukrainewar ukrainerussiacrisis nowar,_
58,58,25/02/2022,23:38:58,ukrainians proud leader man offered evacuated responded need ammunition ride thought would easy take think russianinvasion,en,ukrainians proud leader man offered evacuated responded need ammunition ride thought would easy take think russianinvasion,_
59,59,25/02/2022,23:38:57,makes really difficult come together nation former president members gop praise putingoptraitorstodemocracy gopbetrayedamerica trumpisarussianasset putinisawarcriminal istandwithukraine here… takeoutputin,en,makes really difficult come together nation former president members gop praise putingoptraitorstodemocracy gopbetrayedamerica trumpisarussianasset putinisawarcriminal istandwithukraine here… takeoutputin,_
60,60,25/02/2022,23:38:41,williamzambezi spectatorindex making zvadhakwalets see laugh,en,williamzambezi spectatorindex making zvadhakwalets see laugh,_
61,61,25/02/2022,23:37:43,sensex slips 1400 points orders troops worldwariii ukrainerussiacrisis ukraineconflict ukrainewar russianinvasion ukraineinvasion,en,sensex slips 1400 points orders troops worldwariii ukrainerussiacrisis ukraineconflict ukrainewar russianinvasion ukraineinvasion,_
62,62,25/02/2022,23:37:21,hurting 💔💔💔say 👍 russiaukraine warinukraine worldwariii,en,hurting 💔💔💔say 👍 russiaukraine warinukraine worldwariii,_
63,63,25/02/2022,23:37:06,trends palestine double standards worldwariii,en,trends palestine double standards worldwariii,_
64,64,25/02/2022,23:36:45,amya_press heartbreaking pray world🙏🏽🌎,en,amya_press heartbreaking pray world🙏🏽🌎,_
65,65,25/02/2022,23:36:25,courage face🏅,en,courage face🏅,_
66,66,25/02/2022,23:35:57,support palestine syria lebanon iraq condemn israel congratulations mate highest tier hypocrisy rtagree,en,support palestine syria lebanon iraq condemn israel congratulations mate highest tier hypocrisy rtagree,_
67,67,25/02/2022,23:35:52,worldwariii,en,worldwariii,_
68,68,25/02/2022,23:35:49,america take military action weak countries sanction affect years matter alliance america left alone difficult time zelenskiy kiyev crisis,en,america take military action weak countries sanction affect years matter alliance america left alone difficult time zelenskiy kiyev crisis,_
