,index,date,time,tweet,language,parse,Category
2237,2237,26/02/2022,01:13:38,every social website active palestine kashmir 👇👇👇 deep pockets works 👊,en,every social website active palestine kashmir 👇👇👇 deep pockets works 👊,_
2238,2238,26/02/2022,01:13:33,start positive thoughts continue sending support…more… 🇺🇸🙏🏼🇨🇦 💛💙 watched video support…think usmilitary joebiden nazi trumpputin joebiden 🙏🏼 justintrudeau,en,start positive thoughts continue sending support…more… 🇺🇸🙏🏼🇨🇦 💛💙 watched video support…think usmilitary joebiden nazi trumpputin joebiden 🙏🏼 justintrudeau,_
2239,2239,26/02/2022,01:13:16,understand soil fight else third party get involved tagged act support outside avert,en,understand soil fight else third party get involved tagged act support outside avert,_
2240,2240,26/02/2022,01:12:35,fall less week france fell 6 weeks germany poland fell 3 months germany falling swiftly bad news europe needs step trackswwiii blitzkrieg,en,fall less week france fell 6 weeks germany poland fell 3 months germany falling swiftly bad news europe needs step trackswwiii blitzkrieg,_
2241,2241,26/02/2022,01:12:34,helped today,en,helped today,_
2242,2242,26/02/2022,01:12:18,silver lining germany get good guys change,en,silver lining germany get good guys change,_
2243,2243,26/02/2022,01:12:15,isnt metaverse everyone brings soldiers avatars anyone troop finishes first accepts defeat crypto,en,isnt metaverse everyone brings soldiers avatars anyone troop finishes first accepts defeat crypto,_
2244,2244,26/02/2022,01:12:01,big boy arrived 😎💥,en,big boy arrived 😎💥,_
2245,2245,26/02/2022,01:09:48,together jedisec jedi lulz jazz join fight worldwide freedom justice humanity together change love anonymous,en,together jedisec jedi lulz jazz join fight worldwide freedom justice humanity together change love anonymous,_
2246,2246,26/02/2022,01:09:22,frustrating tenants pay whats difficult dont pay pay late pay wrong amountwe solution install pmsrental system watch👇 masculinitysaturday moses kuria kasarani gaddafi state house kenyans mendy,en,frustrating tenants pay whats difficult dont pay pay late pay wrong amountwe solution install pmsrental system watch👇 masculinitysaturday moses kuria kasarani gaddafi state house kenyans mendy,_
2247,2247,26/02/2022,01:08:54,5 pakistani students students information whether alive dead remember prayers нетвойне,en,5 pakistani students students information whether alive dead remember prayers нетвойне,_
2248,2248,26/02/2022,01:07:54,hate double standards couple muslim attacker eu circumstances changed stopallwars usarealterrorist,en,hate double standards couple muslim attacker eu circumstances changed stopallwars usarealterrorist,_
2249,2249,26/02/2022,01:07:51,theworldstandswithukraine un dont leaders please approach situation diplomacy dont children homes less fatherless motherless sense belonging identity lost please heal 🌎,en,theworldstandswithukraine un dont leaders please approach situation diplomacy dont children homes less fatherless motherless sense belonging identity lost please heal 🌎,_
2250,2250,26/02/2022,01:07:51,difference leader behaves boss valimai,en,difference leader behaves boss valimai,_
2251,2251,26/02/2022,01:07:48,must read article,en,must read article,_
2252,2252,26/02/2022,01:06:37,must reign,en,must reign,_
2253,2253,26/02/2022,01:06:31,targeting another small 😹is rwanda safe💀wwiii,en,targeting another small 😹is rwanda safe💀wwiii,_
2254,2254,26/02/2022,01:06:31,words cannot express inspired stopthewar,en,words cannot express inspired stopthewar,_
2255,2255,26/02/2022,01:06:28,stand fall,en,stand fall,_
2256,2256,26/02/2022,01:06:24,13 men fucking heroes snakeisland,en,13 men fucking heroes snakeisland,_
2257,2257,26/02/2022,01:06:17,thing understand ultimate enemy countries jewish prime minister ultimate plan isreal elect jews leader state use resources tackle,en,thing understand ultimate enemy countries jewish prime minister ultimate plan isreal elect jews leader state use resources tackle,_
2258,2258,26/02/2022,01:05:59,andrey rublev tennis player wrote please camera🙏 nowar helpukraine,en,andrey rublev tennis player wrote please camera🙏 nowar helpukraine,_
2259,2259,26/02/2022,01:05:41,blows mind cant intervene say implications dont care innocent dying countries canada france germany uk easily take avoiding conflict whats causing,en,blows mind cant intervene say implications dont care innocent dying countries canada france germany uk easily take avoiding conflict whats causing,_
