,tweet,parse
1609,"@FedericoArreola @maloguzmanvero Según Gatell “La inusual muerte 100,000 mexicanos” demasiado torpes","@FedericoArreola @maloguzmanvero Según Gatell “La inusual muerte 100,000 mexicanos” demasiado torpes"
1610,13. ( #SonMasDe100mil) En Mexico muerto 100576 personas confiaron recomendaciones Gatell fuerza presidente. Se estima cifras verdaderas 300000 enfermos 3 millones.,13. ( #SonMasDe100mil) En Mexico muerto 100576 personas confiaron recomendaciones Gatell fuerza presidente. Se estima cifras verdaderas 300000 enfermos 3 millones.
1611,@AreliPaz @beltrandelrio @lopezobrador_ Estas bien mal.... ignorante lambiscona gatell peje.... peores nivel mundial,@AreliPaz @beltrandelrio @lopezobrador_ Estas bien mal.... ignorante lambiscona gatell peje.... peores nivel mundial
1612,En cifras López-Gatell México rebasa 100 mil defunciones Coronavirus.,En cifras López-Gatell México rebasa 100 mil defunciones Coronavirus.
1613,(El Universal) Covid-19 mata 100 mil 104; ocho presentan repunte. Lopez-Gatell dice cifra “inusual”.,(El Universal) Covid-19 mata 100 mil 104; ocho presentan repunte. Lopez-Gatell dice cifra “inusual”.
1614,@Amadoelquelolea @HLGatell Que jijo gato Gatell.,@Amadoelquelolea @HLGatell Que jijo gato Gatell.
1615,"@lopezdoriga Imagínense estadio azteca lleno!!!!!!, ahora pongan 13,000 personas sentadas cancha... ahora imagínenlos muertos..estos caen Gatell AMLO. No solo número ahora.","@lopezdoriga Imagínense estadio azteca lleno!!!!!!, ahora pongan 13,000 personas sentadas cancha... ahora imagínenlos muertos..estos caen Gatell AMLO. No solo número ahora."
1616,"@RCANGELES @Claudiashein No, puede guardar sana distancia ahí. El doctor Gatell siempre mencionado: recomienda uso cubrebocas mitigar efecto contagio lugares imposible guardar sana distancia.","@RCANGELES @Claudiashein No, puede guardar sana distancia ahí. El doctor Gatell siempre mencionado: recomienda uso cubrebocas mitigar efecto contagio lugares imposible guardar sana distancia."
1617,¿Para escuchar evasivas López Gatell testimonios nobles equilibrados campo batalla?,¿Para escuchar evasivas López Gatell testimonios nobles equilibrados campo batalla?
1618,"@beltrandelrio @goliveros @qtf Me da coraje oir repetidamente estupideces dice presisidente, gatell varios politicos declaración hoy compararnos paises ,pero mas coraje da preprarados sociedad hace 18 años +","@beltrandelrio @goliveros @qtf Me da coraje oir repetidamente estupideces dice presisidente, gatell varios politicos declaración hoy compararnos paises ,pero mas coraje da preprarados sociedad hace 18 años +"
1619,La pelea López-Gatell vs Irma Eréndira Sandoval,La pelea López-Gatell vs Irma Eréndira Sandoval
1620,@Enea_Salgado @SalvadorZA @HLGatellg gatell genocida junto AMLO juzgados,@Enea_Salgado @SalvadorZA @HLGatellg gatell genocida junto AMLO juzgados
1621,"@El_Universal_Mx Y #DrMuerte Gatell diciendo minimizando, diciendo dramatismo, no?, Osea diciéndole medios hagan cuento. Dramatismo? Cuantas familias perdieron familiar covid. Mariguaneros querían 2021 voten mismo.","@El_Universal_Mx Y #DrMuerte Gatell diciendo minimizando, diciendo dramatismo, no?, Osea diciéndole medios hagan cuento. Dramatismo? Cuantas familias perdieron familiar covid. Mariguaneros querían 2021 voten mismo."
1622,Se ofende “El País “ menciona Gatell bien .,Se ofende “El País “ menciona Gatell bien .
1623,"@CiroGomezL @HLGatell El cartel periodismo chayotero prensa benevolente encabezado testaferro rasputin palero patiño foca aplaudidora lame huevos prianismo Ciro GL furiosos. Su fobia, ira, alergia odio enfermizo AMLO doctor López Gatell impresionante. Hipócrita","@CiroGomezL @HLGatell El cartel periodismo chayotero prensa benevolente encabezado testaferro rasputin palero patiño foca aplaudidora lame huevos prianismo Ciro GL furiosos. Su fobia, ira, alergia odio enfermizo AMLO doctor López Gatell impresionante. Hipócrita"
1624,🇲🇽 México rebasa 100 mil defunciones Covid-19; día hoy chamán Gatell continúa estrategias rumbo.,🇲🇽 México rebasa 100 mil defunciones Covid-19; día hoy chamán Gatell continúa estrategias rumbo.
1625,"@CiroGomezL @HLGatell Lo peor claro saben hacen. ¿cuántos ""picos pandemia"" fallaron predecir? ¿por qué, voluntariamente, decir 60,000 muertos catastrófico? #Gatell #4T sólo incompetentes, soberbios estúpidos.","@CiroGomezL @HLGatell Lo peor claro saben hacen. ¿cuántos ""picos pandemia"" fallaron predecir? ¿por qué, voluntariamente, decir 60,000 muertos catastrófico? #Gatell #4T sólo incompetentes, soberbios estúpidos."
1626,@monicagarzag Todo culpa López Gatell... Hubiera puerta dar cubre bocas hacer pasaran uno!!!,@monicagarzag Todo culpa López Gatell... Hubiera puerta dar cubre bocas hacer pasaran uno!!!
1627,"Buenos días raza tuitera...Sólo imbécil idiotizado además profundos trastornos mentales, puede calificar ""trabajo"" realizado asesino López Gatell ""EXTRAORDINARIO""","Buenos días raza tuitera...Sólo imbécil idiotizado además profundos trastornos mentales, puede calificar ""trabajo"" realizado asesino López Gatell ""EXTRAORDINARIO"""
1628,"@lopezdoriga Joaquín presidente califica extraordinaria labor Dr. López Gatell frente COVID, simplemente éste acata chistar órdenes políticas materia salud dicta silla presidencial","@lopezdoriga Joaquín presidente califica extraordinaria labor Dr. López Gatell frente COVID, simplemente éste acata chistar órdenes políticas materia salud dicta silla presidencial"
1629,@mesiasiluminado @Box1Jes No hecho López Gatell,@mesiasiluminado @Box1Jes No hecho López Gatell
1630,"@SergioSarmiento Y paradójicamente presumen luchado pandemia 😡🤬😡, cínico Gatell hecho trabajo extraordinario...que poca madre políticos 4Ta...","@SergioSarmiento Y paradójicamente presumen luchado pandemia 😡🤬😡, cínico Gatell hecho trabajo extraordinario...que poca madre políticos 4Ta..."
1631,"@CiroGomezL @HLGatell @rincondedacne última parte, aparece dr. Hugo López Gatell, si fijamos bien, oye respiración (aspiración) fuerte. Señal nervioso presionado","@CiroGomezL @HLGatell @rincondedacne última parte, aparece dr. Hugo López Gatell, si fijamos bien, oye respiración (aspiración) fuerte. Señal nervioso presionado"
1632,"El White Walker Gatell cree 100,000 muertos covid-19 noticia primera plana... bueno, tantas cosas cree cree leal ciego.","El White Walker Gatell cree 100,000 muertos covid-19 noticia primera plana... bueno, tantas cosas cree cree leal ciego."
1633,"@SergioSarmiento Pero según pejeimbécil, Gatell hecho trabajo ""extraordinario"".","@SergioSarmiento Pero según pejeimbécil, Gatell hecho trabajo ""extraordinario""."
