date,tweet,language,hashtags
2022-02-24,I am an absolutist…  Killing only according to Just War Theory.   This war is not just.   #Ukraine   #murder #PutinIsaWarCriminal,en,"['ukraine', 'murder', 'putinisawarcriminal']"
2022-02-24,NATO will firmly stand with #Ukraine...online,en,['ukraine']
2022-02-24,Now China openly supports the attack on a completely innocent nation by Russia. Time to change the permanent voting members with veto pwoer.  @UN #UNSecurityCouncil   #RussiaInvadedUkraine #ukraine #russia #putin  @whitehouse @joebiden,en,"['unsecuritycouncil', 'russiainvadedukraine', 'ukraine', 'russia', 'putin']"
2022-02-24,Thats Guts What Heroes they are.... Sad though indeed this is. #Putin is a Murderer and psychopath. HE must be removed from power one way or another. #Russia #Ukraine,en,"['putin', 'russia', 'ukraine']"
2022-02-24,"Spent good chunk of day keeping up with way beyond horrific and heartbreaking #Ukraine news, so yes, for an evening break, I really did watch #MeanGirls, for at least the fourth time. Exactly what I needed.  https://t.co/SWfqqdMuWu",en,"['ukraine', 'meangirls']"
2022-02-24,A Ukrainian father bursts into tears as he says bye to his family before joining #Ukraine's Defence Forces amid the general mobilization due to #Russia's invasion. #RussiaUkraineConflict #RussiaUkraineCrisis #Russian #Ukraine #UkraineInvasion #Ukraine #Russian  https://t.co/qiCzPMnsn6,en,"['ukraine', 'russia', 'russiaukraineconflict', 'russiaukrainecrisis', 'russian', 'ukraine', 'ukraineinvasion', 'ukraine', 'russian']"
2022-02-24,Corgi tour of Kyiv city of weekends with dog #visitkyiv #ukraine  https://t.co/24Ovn156Se,en,"['visitkyiv', 'ukraine']"
2022-02-24,⚠️🚨🚨 #BREAKING | Intervention of the air defense system in Kiev  #Ukraine #UkraineRussia #UkraineConflict #worldwar3 #RussiaUkraineConflict #Ukrainian #worldwar3 #Putin  https://t.co/66VQzARdpu,en,"['breaking', 'ukraine', 'ukrainerussia', 'ukraineconflict', 'worldwar3', 'russiaukraineconflict', 'ukrainian', 'worldwar3', 'putin']"
2022-02-24,"In the end, it will be #NATO and the rest of us who must thank #Ukraine that it defended us. Ukraine doesn't deserve this! It is our fight as well! We will be next if the evil wins this war.  #UkrainiansWillResist #СлаваУкраїні #ГероямСлава #StopRussianAggression #StopPutinNow",en,"['nato', 'ukraine', 'ukrainianswillresist', 'славаукраїні', 'героямслава', 'stoprussianaggression', 'stopputinnow']"
2022-02-24,The #media and #democrats and #AOC and #NancyPelosi would be undermining Trump non stop if he was President right now. Don’t give the bastards one second of support. They are the enemy. #Ukraine,en,"['media', 'democrats', 'aoc', 'nancypelosi', 'ukraine']"
2022-02-24,Many big #explosions heard in Ukrainian capital #Kyiv early Friday morning:  #Russia #Ukraine #Kiev #Kyiv #subwaystation #RussiaInvadedUkraine #russianinvasion #Ukraine #UkraineRussiaConflict #Putin  https://t.co/oeS3oq1eg9,en,"['explosions', 'kyiv', 'russia', 'ukraine', 'kiev', 'kyiv', 'subwaystation', 'russiainvadedukraine', 'russianinvasion', 'ukraine', 'ukrainerussiaconflict', 'putin']"
2022-02-24,"Big explosions are being heard continuously in areas like #Kyiv and Kharkiv, some Tamil students told TNIE, pleading for help to be evacuated immediately.  #Ukraine #TamilNadu #UkraineInvasion  @binitajTNIE @NewIndianXpress   https://t.co/pbFprsso0A",en,"['kyiv', 'ukraine', 'tamilnadu', 'ukraineinvasion']"
2022-02-24,We’ll have the latest episode of the podcast out on Patreon tomorrow ‘round noon and everyone else will get it this weekend.   It’s possible we’ll chat about #Ukraine.,en,['ukraine']
2022-02-24,Bro the #klitschko brothers are going to fight for #Ukraine 🙌🏽 these fools finna knock the shit out of some Russians 😬,en,"['klitschko', 'ukraine']"
2022-02-24,"KYIV, #Ukraine (AP) -- Explosions heard in Ukrainian capital of Kyiv as Russian forces continue their assault.  https://t.co/xYNVTUPnLo  https://t.co/fEFL1fBWaS",en,['ukraine']
2022-02-24,Draft me bitches #Ukraine #Russia #canada,en,"['ukraine', 'russia', 'canada']"
2022-02-24,"#Japan will impose sanctions on Russia targeting semiconductor exports and financial institutions, PM Fumio Kishida said on Friday. #Russia #Ukraine #RussiaUkraineConflict    https://t.co/youQPprTXP",en,"['japan', 'russia', 'ukraine', 'russiaukraineconflict']"
2022-02-24,"Canada’s @OurCommons Standing Committee on Foreign Affairs and International Development condemns the Russian invasion of Ukraine in the strongest possible terms, calls for immediate withdrawal and full restoration of Ukraine’s sovereignty. #Ukraine  https://t.co/zNZvUWQ35g #FAAE  https://t.co/91QGqkA7ah",en,"['ukraine', 'faae']"
2022-02-24,"Russia’s invasion of Ukraine is happening halfway across the world, but the impact will be felt by businesses &amp; consumers right here in SD.  Find out more details in my @10News interview:  https://t.co/h3nxJzUIBy   #Ukraine #economy #oil #gas #inflation #SupplyChain",en,"['ukraine', 'economy', 'oil', 'gas', 'inflation', 'supplychain']"
2022-02-24,Wow! +1 for #Ukraine,en,['ukraine']
2022-02-24,"#USA &amp; #UK giving lessons of morality and international law after forgetting what they did recently at #Afghanistan, #Yaman, #Iraq #StopWar at #Ukraine  https://t.co/i379WPMfRA",en,"['usa', 'uk', 'afghanistan', 'yaman', 'iraq', 'stopwar', 'ukraine']"
2022-02-24,Nearly 400 Indian students in #Ukraine's Sumy city bordering #Russia have taken shelter in a basement after Russian forces took control of it and have appealed to the government of India to evacuate them   https://t.co/fnEBAj7zYD,en,"['ukraine', 'russia']"
2022-02-24,"I've started to build a portal/association to point spanish-speaking people in the right direction if they want to donate, help or get information about normal people who don't want war in Ukraine and have been affected.   https://t.co/ZOyeF8cyAK  #Ukraine #Ucrania #Rusia",en,"['ukraine', 'ucrania', 'rusia']"
2022-02-24,"#Ukraine #Kyiv Whatever you do, do not look at Chernobyl on snap maps",en,"['ukraine', 'kyiv']"
2022-02-24,Russian President Vladimir Putin briefs Prime Minister Modi about recent developments regarding Ukraine.  #UkraineRussiaCrisis #Ukraine #Russia #Putin  https://t.co/S17PhAFXXj,en,"['ukrainerussiacrisis', 'ukraine', 'russia', 'putin']"
