tweet
"@ericguth50 @proceso A Webo, es culpa de gatell por no mandarle a los soldados a partirle la madre a muchos irresponsables? Que más quieres ? Que mande a la GN que cuide a tu crías ? Jaja nmms"
"Las críticas contra Gatell son recordatorio del mal manejo de la crisis sanitaria del #Covid_19mx por las autoridades de Salud. Debería avergonzarles y lo menos que merecen las familias de las personas fallecidas es una disculpa pública, por su incapacidad. #100MilMuertos "
"@politicomx @zoerobledo @SSalud_mx @m_ebrard @LillyTellez @Mzavalagc @MarkoCortes Metase en su cabecita que la pandemia no lleva 2 años y usted si, y esos 2 años solo han sido de excusas culpando a los anteriores, usted ya asuma sus responsabilidades ya estamos hartos de tanto pretexto ya póngase a trabajar y al inútil de Gatell ya corralo o ni para eso sirve."
"La terquedad del presidente y el cinismo e irresponsabilidad de Gatell, duplicarán esa cifra oficial."
"@Jorge_Ugalde Es un pen&amp;{^% parado de manos! 😡 y el Gatell no se queda atras! Vamos a darles dos dipblomas, uno por pendejo y el otro por si se le pierde"
"@MBM2719 Buen punto. Pero para los que no tienen mucho sentido común, era importante que la autoridad sanitaria avalara el uso del cubrebocas, porque déjame decirte que tristemente conozco a personas que objetaban que el Secretario Gatell había dicho que no era necesario."
"Dijo que 6,000 decesos y ya superamos los 100,000 reconocidos; 300,000 reales. Nunca encontró el ""pico"". En lo único que CASI le atina Titino Gatell es cuando dijo que la pandemia terminaría ""más o menos"" el 18 de abril. Nada más se equivocó por un año el pndejo."
@El_Universal_Mx No estoy de acuerdo es un inepto López Gatell. Y ya no hablemos del otro López.
"Estrategia Gatell: - 9.8 ☠/ 100 casos confirmados de COVID-19. Por mucho, la PEOR tasa del🌏. - La tasas + ALTA de mortalidad entre sanitarios. - De los % + bajos de pruebas de detección - 35K ☠ estimación - 60K escenario catastrófico. - &gt; 100 mil ☠ y subiendo. FRACASO TOTAL "
"@EdiMunoz3 @aracelibs Puede que tengas razón pero si el cacas no usa cubrebocas y Gatell dice que los cubrebocas no son seguros, pues ponen un pésimo ejemplo más aparte que nos vale verga!"
"@dadkom14 No debemos bajar al nivel de los fachos miserables. El apoyo al %100 hacia AMLO y Gatell, MÁS FUERTES que nunca. La 4T sigue su rumbo."
"@lord_inario Mejor sigamos en las fiestas y luego nada más culpamos al Dr Gatell, es más fácil... "
"Ya que se superaron las 100mil muertes por covid ahora si “uso de cubrebocas obligatorio y pruebas masivas” ah pero antes “no está comprobado que funcione, no es necesario” ctm Gatell"
"@Abrahamchillet @RiosCorona222 A Gatell, al Anciasno, a todo el gabinete de ineptos y los morenarcos..."
"@lopezdoriga Gatell se ha ganado a pulso el título del #DrMuerte por su servilismo y lealtad ciega a ANLO para ahorrarle todo el $$$ posible en pruebas de detección, y así ocultar las cifras reales de la gran mortandad por Covid. Ineptos y corruptazos!! "
Tiene que defender a su Frankenstein López -Gatell... Este es el anillo y aquel el dedo...!!!
"Tienen obesidad, hipertensión, diabetes, usan el cubrebocas incorrectamente o no lo usan, se van a reuniones con cuates (todo tranqui we), hacen fila para comprar cerveza y aprovechar los desuentazos del Buen Fin, ha pero llega a 100 mil muertos y ""PINCHÉ GATELL nos está matando"""
