tweet
"Shame on the leaders responsible for the murder , and who are supporting the tyrant aggressor. #UkraineInvasion #StopWar"
I’m safe in the bomb shelter in Kyiv. Please stop the aggression! Please do something… #StopWar #Kyiv #Ukraine
"Despite the war  Despite the freezing cold  A group of Ukrainians gather, down on their knees, bowing their heads down praying for their country 🥺  I’m #PrayingForUkraine too #PrayForUkraine Cold War #prayersforUkraine #StopWar World War 3 #WWIII  https://t.co/2UlLuiyBAM"
i’m praying for everyone in #ukraine right know… #StopWar
Please please stay safe Ukraine. #PrayingForUkraine #NoWar #StopWar
@danriversitv 😪😡☹ Its really sad and catastrophic for the people of Ukraine especially the toddlers. Putin has to stop this War. #StopWar
Dear @JoeBiden what's your plan to deal with any possible Chinese invasion in Taiwan?  Will you fail to deal with it too?  #RussiaUkraineConflict #worldwar3 #StopWar #BidenIsAFailure
"#Indian students have taken Shelter in the basement of a University in #Kharkivr, #Ukraine. They are worried as Food, money, essential supply running out.   #UkraineRussiaConflict  #UkraineWar  #StopWar  #RussiaUkraineConflict  https://t.co/Iv0Ek3Ve0B"
@mjluxmoore Please stop #War #StopWar #StopWarOnUkraine  https://t.co/p6UrzU1c3L
@lil_whind Please see these moments #StopWar
"Russians bombed at night my hometown #Kyiv, city with 3 million people in the middle of #Europe! EU, NATO, USA Act now! cut #Russia from #SWIFT! Do real sanctions! #stopWar #StopRussia #StandWithUkraine #PrayForUkraine  https://t.co/k1fhOXLmhl"
You must stop this war Putin  #StopWar #PutinIsaWarCriminal  #UkraineInvasion  https://t.co/Xvu0RLu59H
"Thank you all courageous people in Russia and around the world who have shown solidarity and are not afraid to do so! We need every Russian to overthrow Putin, his regime and stop the madness now! 💙💛🙏 #StopWar"
"!A Russian Ka-52 helicopter was shot down over Mezhyhirya, - Center for Strategic Communications and Information Security of Ukraine #StopRussianAggression  #stopwar  #UkrainiansWillResist  https://t.co/KFEbJcyxvy"
137 die in ukrain on day-1 Russia wages war despite global critisism #StopWar #StopPutin  https://t.co/A1is0KpvLa
"!A Russian Ka-52 helicopter was shot down over Mezhyhirya, - Center for Strategic Communications and Information Security of Ukraine #StopRussianAggression  #stopwar  #UkrainiansWillResistw  https://t.co/NZPi27m0Y5"
Well said. #StopWar #peaceforukraine
Every Indians watching #RussiaUkraineConflict Live on twitter.  #UkraineRussia #UkraineWar #worldwar3 #StopWar #Putin  https://t.co/HfCDXq1UAG
Are they entertaining the people of the rest of the world💢 #StopWar #StopRussianAggression #UkraineRussia #FreeUkraine  https://t.co/DfWnjRmZY6
So where are the Avengers and especially superman can't they see there is a war going on 🤕🤐🤒#notowars #StopRussia #StopWar
There is no winner in any #war where children die and mothers cry! #Ukraina #WWIII  #worldwar3 #StopWar  #RussiaUkraineConflict  #RussiaUkraine #IStandWithUkraine  #worldwar3  https://t.co/6VKAj51hMf
@mjluxmoore Utmost respect for these brave Russians to risk their own safety to voice out and object to their own government’s wrong doings.  I pray for the unnecessary evil war to cease and that everyone is safe and reunited with their loved ones.   �
Prayers 🙏 Solidarity ✊ #StopWar  https://t.co/f7yEq0PgJM
"Iraq Syria Palestine Lebanon Yemen Kashmir have been oppressed for years. To date, no one has raised his voice. Everyone is sad about Ukraine. #Ukraine #RussieUkraine #StopWar #Kashmir  https://t.co/2qzB6jJIxk"
@CatArmCoin Cat arm making happy #stopwar #Catarmcoin #CATARM  https://t.co/YgteHYuw1n
Yes I will hug if I alive ♥️. Otherwise you have to wait forever 💔  #UkraineRussia  #StopWar
"#StopWar   To live! like a tree alone and free,  To live! like a forest in brotherhood/sisterhood...""  #NazimHikmet"
Please stop War in #Ukraine  #StopWar #RussiaUkraineWar  #UkraineRussia 🙏😭😭😭  https://t.co/cY2mwB75fx
"A friendly reminder to all world leaders, and particularly to those acting irresponsibly like Putin, that a justification can be an excuse. Plus, war is widely regarded as the last resort since it is the dumbest solution to end conflicts. Be smart, #StopWar"
Gamova's latest IG story post. She and the other Russian citizens doesn't want war. She wants world peace.  #EkaterinaGamova #Gamova #StopWar  #StopTheWar  #prayersForUkraine  https://t.co/Z4r2bi3oB0
